producto_id,Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,Battery mAh
1,,,,,,,0.0,,,
2,2.6,8.0,16.0,512.0,15.4,NVidia,3.0,,,
3,4.7,10.0,16.0,512.0,15.6,Intel,4.0,Windows,1.90kg,
4,3.0,16.0,64.0,512.0,17.0,NVidia,2.0,,,
5,,,,,,,,,,
6,5.0,10.0,16.0,512.0,14.0,Intel,2.0,Windows,1.9 kg,
7,5.0,10.0,16.0,512.0,14.0,,4.0,Windows,1.38,
8,,0.0,,,,,,,,
9,4.5,6.0,16.0,512.0,14.0,AMD,4.0,Windows,1.48,
10,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,80
11,2.5,8.0,16.0,1.0,15.6,AMD,4.0,Windows,,4000
12,,8.0,16.0,1000.0,15.6,AMD,4.0,,1.7,4000
13,1.8,4.0,16.0,1000.0,15.6,Intel,3.0,Windows,1.9 kg,
14,1.8,4.0,16.0,1024.0,15.6,,3.0,,1.9,
15,2.5,4.0,16.0,1000.0,15.6,Intel,3.0,Windows,1.9,
16,2.7,4.0,16.0,1.0,15.6,Intel,3.0,Windows,1.9,
17,7.0,,16.0,1.0,15.6,Intel,3.0,,1.9,
18,185.0,4.0,16.0,1.0,15.6,Intel,3.0,Windows,1.9,
19,28.0,1.0,16.0,1000.0,15.6,Intel,3.0,,1.9kg,
20,2.8,4.0,16.0,1000.0,15.6,Intel,3.0,Windows,1.9 kg,
21,,4.0,8.0,256.0,15.6,Intel,5.0,Windows,1.7,4000
22,,4.0,16.0,500.0,15.6,Intel,3.0,,1.7,4000
23,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,Windows,,90
24,,,,,,,,,,
25,2.6,4.0,8.0,256.0,15.6,Intel,3.0,Windows,,4000
26,2.1,4.0,16.0,1024.0,15.6,Intel,3.0,Windows,1.7,4000
27,2.1,4.0,16.0,500.0,15.6,Intel,3.0,Windows,1.7 Kg,4000
28,1.8,4.0,16.0,500.0,15.6,Intel,3.0,,1.7Kg,
29,2.5,4.0,16.0,500.0,15.6,Intel,3.0,macOS,1.7,4000
30,2.1,4.0,16.0,500.0,15.6,Intel,3.0,,1.7,4000
31,,4.0,8.0,256.0,15.6,Intel,3.0,Windows,1.7,4000
32,4.5,8.0,8.0,500.0,14.0,Intel,3.0,Windows,1.5,4000
33,2.5,4.0,8.0,500.0,15.6,Intel,3.0,Windows,1.7,
34,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
35,,,16.0,1000.0,15.6,Intel,3.0,,1.7,4000
36,2.5,4.0,16.0,1000.0,15.6,Intel,3.0,Windows,1.7 kg,4000 mAh
37,,4.0,16.0,500.0,15.6,Intel,3.0,,1.7,4000
38,2.9,4.0,16.0,500.0,15.6,Intel,3.0,Windows,1.7,4000
39,2.5,4.0,32.0,1000.0,15.6,Intel,4.0,Windows,1.7,4000
40,,,,,,,,,,
41,,0.0,,,,,,,,
42,,,,,,,,,,
43,,0.0,,,,,,,,
44,,,,,,,,,,
45,2.3,8.0,16.0,1.0,15.6,AMD,3.0,Windows,1.75,
46,4.3,8.0,16.0,500.0,15.6,AMD,4.0,macOS,1.75,
47,,8.0,16.0,500.0,15.6,AMD,4.0,Windows,1.75,0
48,5.0,,16.0,1.0,15.6,Intel,3.0,,,
49,2.6,4.0,16.0,1024.0,15.6,Intel,5.0,macOS,1.75,
50,,4.0,16.0,500.0,15.6,Intel,5.0,,1.75,
51,2.6,4.0,16.0,500.0,15.6,Intel,3.0,macOS,1.75,
52,1.3,4.0,16.0,500.0,15.6,Intel,3.0,Windows,1.75,
53,5.0,4.0,16.0,500.0,15.6,Intel,3.0,Windows,1.75 Kg,
54,,8.0,,,,,,,,
55,,8.0,,,13.3,Apple,2.0,macOS,1.29 kg,
56,,8.0,8.0,512.0,13.3,Apple,2.0,macOS,1.29,
57,,,,,,,,,,u003e
58,,,,,,,,,,
59,,,,,,,,,,
60,,8.0,8.0,256.0,13.0,,1.0,macOS,,
61,,8.0,8.0,256.0,13.6,Apple,2.0,macOS,,
62,,8.0,8.0,256.0,13.6,,2.0,,,
63,,8.0,8.0,256.0,15.3,,2.0,macOS,1.29,
64,,,,,,,,,,
65,,0.0,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,Windows,,80
70,,,,,,,,,,
71,1.7,4.0,8.0,256.0,13.3,Intel,2.0,macOS,1.25,
72,,,,,,,,,,
73,,,,,,,,,,
74,2.6,4.0,8.0,256.0,12.9,Intel,2.0,macOS,1.25 kg,
75,,,,,,,0.0,,,
76,,0.0,,,,,,,,
77,,,,,,,,,,
78,2.8,8.0,16.0,512.0,15.6,NVidia,3.0,,,
79,,8.0,16.0,512.0,13.3,Apple,2.0,macOS,1.29,49900
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,8.0,16.0,512.0,14.0,,3.0,macOS,1.6,
85,,,,,,,,,,
86,,,,,,,,,,
87,2.4,8.0,64.0,1024.0,16.0,,3.0,macOS,2.2 kg,10710
88,,4.0,,,,,,,,
89,,,,,,,,,,
90,3.5,4.0,16.0,512.0,14.0,NVidia,2.0,Windows,,9600
91,2.8,6.0,16.0,512.0,15.6,NVidia,3.0,,,
92,,,,,,,,,,
