Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
,,,,,,0,,,https://www.pccomponentes.com/acer-travelmate-p2-tmp214-55-tco-51rl-intel-core-i5-1335u-16gb-512gb-ssd-14,
2.6 GHz,8,16,512,15.4,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/portatil-acer-travelmate-p2-tmp215-54-584f-intel-core-i5-1235u-8gb-512gb-ssd-156-teclado-frances,
4.70GHz,10,16GB,512GB,15.6,Intel Iris Xe Graphics,4,Windows 11 Pro,1.90kg,https://www.pccomponentes.com/acer-travelmate-p2-tmp215-54-71uz-intel-core-i7-1255u-16gb-512gb-ssd-156,
3.0Ghz,16,64,512,17,NVidia RTX 4080 Ti,2,,,https://www.pccomponentes.com/acer-travelmate-p2-tmp216-51-tco-346k-netbook-intel-core-i3-1315u-8gb-512gb-ssd-16-fr,
,,,,,,,,,https://www.pccomponentes.com/acer-travelmate-p2-tmp216-51-tco-5584-intel-core-i5-1335u-16gb-512gb-ssd-16,
5 GHz,10,16 GB,512 GB,14 inches,Intel Iris Xe Graphics,2,Windows 11 Pro,1.9 kg,https://www.pccomponentes.com/acer-travelmate-p2-tmp216-51-tco-73az-intel-core-i7-1355u-16gb-512gb-ssd-14,
5,10,16,512,14,,4,Windows 11 Pro,1.38,https://www.pccomponentes.com/portatil-acer-travelmate-p4-tmp414-53-g2-tco-544n-intel-core-5-120u-16gb-512gb-ssd-14,
,0,,,,,,,,https://www.pccomponentes.com/portatil-acer-travelmate-tmp614-53-tco-54rf-intel-core-i5-1335u-16gb-512gb-ssd-14-fr,
4.5 GHz,6,16,512,14,AMD Radeon Graphics,4,Windows 11 Pro,1.48,https://www.pccomponentes.com/portatil-acer-travelmate-p4-tmp414-41r9f4-amd-ryzen-5-pro-6650u-16gb-512gb-ssd-14,
2.5GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,Windows 10 Pro,,https://www.pccomponentes.com/portatil-acer-travelmate-p4-tmp416-41-r2z3-amd-ryzen-5-pro-6650u-16gb-512gb-ssd-16,80
2.5 GHz,8,16,1,15.6,AMD Vega 7 Integrada,4,Windows 11,,https://www.pccomponentes.com/portatil-alurin-flex-advance-amd-ryzen-7-5825u-16gb-1tb-ssd-156-windows,4000
,8,16,1000,15.6,AMD Vega 7,4,,1.7,https://www.pccomponentes.com/portatil-alurin-flex-advance-amd-ryzen-7-5825u-16gb-1tb-ssd-156-teclado-portugues,4000
1.8 GHz,4,16 GB,1000 GB,15.6,Intel Xe LPG Graphics,3,Windows 11 Pro,1.9 kg,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-5-125h-156-16gb-1tb-windows-11-pro,
1.8GHz,4,16,1024,15.6,,3,,1.9,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-5-125h-16gb-1tb-ssd-156,
