producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
1,2025-02-26 06:34:12,"MSI Modern 15 F13MG-246XES Intel Core i7-1355U/32GB/1TB SSD/15.6""",https://www.pccomponentes.com/portatil-msi-modern-15-f13mg-246xes-intel-core-i7-1355u-32gb-1tb-ssd-156,799€,"898,99€","4,5/5",492 opiniones,Portátiles para estudiar o trabajar
2,2025-02-26 06:34:12,"Lenovo IdeaPad 1 Gen 7 15ALC7 AMD Ryzen 7 5700U/16GB/1TB SSD/15.6""",https://www.pccomponentes.com/portatil-lenovo-ideapad-1-gen-7-15alc7-amd-ryzen-7-5700u-16gb-1tb-ssd-156,479€,699€,"4,5/5",598 opiniones,Portátiles para estudiar o trabajar
3,2025-02-26 06:34:12,"Lenovo IdeaPad 1 15ALC7 AMD Ryzen 7 5700U/16GB/512 GB SSD/15.6""",https://www.pccomponentes.com/portatil-lenovo-ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512-gb-ssd-156,489€,579€,"4,5/5",590 opiniones,Portátiles para estudiar o trabajar
4,2025-02-26 06:34:12,"HP 15-fd0020ns Intel Core i7-1355U/16GB/1TB SSD/15.6""",https://www.pccomponentes.com/hp-15-fd0020ns-intel-core-i7-1355u-16gb-1tb-ssd-156,659€,799€,"4,6/5",1117 opiniones,Portátiles para estudiar o trabajar
5,2025-02-26 06:34:12,"MSI Modern 15 B7M-243XES AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/msi-modern-15-b7m-243xes-amd-ryzen-7-7730u-16gb-512gb-ssd-156,619€,899€,"4,5/5",752 opiniones,Portátiles para estudiar o trabajar
6,2025-02-26 06:34:12,"MSI Modern 14 F13MG-203XES Intel Core i7-1355U/16GB/1TB SSD/14""",https://www.pccomponentes.com/portatil-msi-modern-14-f13mg-203xes-intel-core-i7-1355u-16gb-1tb-ssd-14,749€,"808,99€","4,6/5",135 opiniones,Portátiles para estudiar o trabajar
7,2025-02-26 06:34:12,"MSI Modern 15 F13MG-248XES Intel Core i5-1334U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-msi-modern-15-f13mg-248xes-intel-core-i5-1334u-16gb-512gb-ssd-156,599€,889€,"4,5/5",593 opiniones,Portátiles para estudiar o trabajar
8,2025-02-26 06:34:12,"MSI Modern 15 B7M-041XES AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/msi-modern-15-b7m-041xes-amd-ryzen-5-7530u-16gb-512gb-ssd-156,579€,649€,"4,5/5",915 opiniones,Portátiles para estudiar o trabajar
9,2025-02-26 06:34:12,"ASUS Vivobook F1504VA-NJ2237 Intel Core i5-1334U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-asus-vivobook-f1504va-nj2237-intel-core-i5-1334u-16gb-512gb-ssd-156,489€,599€,,,Portátiles para estudiar o trabajar
10,2025-02-26 06:34:12,"ASUS Vivobook 15 M1502YA-NJ448 AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-asus-vivobook-15-m1502ya-nj448-amd-ryzen-7-7730u-16gb-512gb-ssd-156,529€,579€,"4,5/5",968 opiniones,Portátiles para estudiar o trabajar
