producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
1,2025-02-21 17:23:39,ASUS PRIME B760-PLUS,https://www.pccomponentes.com/asus-prime-b760-plus,134€,"164,90€","4,6/5",598 opiniones,ASUS
2,2025-02-21 17:23:39,ASUS TUF GAMING B650-PLUS,https://www.pccomponentes.com/asus-tuf-gaming-b650-plus,"213,15€","267,51€","4,5/5",953 opiniones,ASUS
3,2025-02-21 17:23:39,ASUS PRIME B650-PLUS WIFI,https://www.pccomponentes.com/placa-base-asus-prime-b650-plus-wifi,"164,95€",,"4,5/5",235 opiniones,ASUS
4,2025-02-21 17:23:39,ASUS PRIME B550M-A WIFI II,https://www.pccomponentes.com/asus-prime-b550m-a-wifi-ii,"123,75€","151,68€","4,5/5",1022 opiniones,ASUS
5,2025-02-21 17:23:39,ASUS TUF GAMING B650-E WIFI,https://www.pccomponentes.com/placa-base-asus-tuf-gaming-b650-e-wifi,"174,95€",,"4,7/5",107 opiniones,ASUS
6,2025-02-21 17:23:39,ASUS TUF Gaming GeForce RTX 5080 OC 16GB GDDR7 Reflex 2 RTX AI DLSS4,https://www.pccomponentes.com/tarjeta-grafica-asus-tuf-gaming-geforce-rtx-5080-oc-16gb-gddr7-reflex-2-rtx-ai-dlss4,"1.578,07€",,"2,8/5",26 opiniones,ASUS
7,2025-02-21 17:23:39,ASUS Prime B760-PLUS D4,https://www.pccomponentes.com/asus-prime-b760-plus-d4,134€,,"4,6/5",598 opiniones,ASUS
8,2025-02-21 17:23:39,ASUS TUF GAMING B860-PLUS WIFI,https://www.pccomponentes.com/placa-base-asus-tuf-gaming-b860-plus-wifi,"219,99€","262,99€",5/5,2 opiniones,ASUS
9,2025-02-21 17:23:39,ASUS Dual GeForce RTX 4060 EVO OC Edition 8GB GDDR6 DLSS3,https://www.pccomponentes.com/asus-dual-geforce-rtx-4060-evo-oc-edition-8gb-gddr6-dlss3,"335,99€","399,99€","4,7/5",729 opiniones,ASUS
10,2025-02-21 17:23:39,ASUS TUF GAMING B550-PLUS WIFI II,https://www.pccomponentes.com/asus-tuf-gaming-b550-plus-wifi-ii,163€,"187,53€","4,7/5",2607 opiniones,ASUS
11,2025-02-21 17:23:39,ASUS PRIME B550M-A/CSM,https://www.pccomponentes.com/asus-prime-b550m-a-csm,"99,63€",,"4,5/5",725 opiniones,ASUS
12,2025-02-21 17:23:39,ASUS TUF GAMING B650-PLUS WIFI,https://www.pccomponentes.com/asus-tuf-gaming-b650-plus-wifi,"235,04€","282,68€","4,5/5",953 opiniones,ASUS
13,2025-02-21 17:23:39,ASUS TUF GAMING B760 PLUS WIFI,https://www.pccomponentes.com/asus-tuf-gaming-b760-plus-wifi,"180,99€","199,99€","4,6/5",482 opiniones,ASUS
14,2025-02-21 17:23:39,ASUS Dual GeForce RTX 4070 Ti SUPER OC Edition 16GB GDDR6X DLSS3,https://www.pccomponentes.com/tarjeta-grafica-asus-dual-geforce-rtx-4070-ti-super-oc-edition-16gb-gddr6x-dlss3,"1.033,52€",,"4,7/5",384 opiniones,ASUS
15,2025-02-21 17:23:39,ASUS TUF GAMING B650M-PLUS WIFI,https://www.pccomponentes.com/asus-tuf-gaming-b650m-plus-wifi,"179,99€","275,77€","4,5/5",953 opiniones,ASUS
16,2025-02-21 17:23:39,Asus TUF GAMING B550M-PLUS WIFI II,https://www.pccomponentes.com/asus-tuf-gaming-b550m-plus-wifi-ii,"139,98€","157,90€","4,7/5",2607 opiniones,ASUS
17,2025-02-21 17:23:39,ASUS Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6 DLSS3,https://www.pccomponentes.com/tarjeta-grafica-asus-dual-geforce-rtx-4070-evo-oc-edition-12gb-gddr6-dlss3,"627,53€","699,99€","4,7/5",43 opiniones,ASUS
18,2025-02-21 17:23:39,ASUS PRIME B650-PLUS,https://www.pccomponentes.com/asus-prime-b650-plus,"159,99€","234,42€","4,5/5",235 opiniones,ASUS
